antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,reliability,target_score,count_score,lift_score,recommendation_score,strength_score,recommendation_text,context_type,context_value
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=coffee}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
frozenset({'hashtag=قهوة'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=قهوة},medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=coffee, hashtag=today_and_everyday}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
"frozenset({'hashtag=قهوة', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=قهوة}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=coffee, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=today_and_everyday, hashtag=قهوة}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=today_and_everyday, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
"frozenset({'hashtag=قهوة', 'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,3,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing.",sector,Cafes/Restaurants
frozenset({'hashtag=vanilla_today_and_everyday'}),frozenset({'performance=high_view_rate'}),0.4473684210526316,0.3026315789473684,0.21052631578947367,0.47058823529411764,1.5549872122762147,0.07513850415512463,1.3172514619883042,0.6458333333333333,1,1,performance=high_view_rate,16,34,{hashtag=vanilla_today_and_everyday},weak,1.0,1.0,0.5183290707587382,0.6702046035805626,0.7317586881299833,"Try using {hashtag=vanilla_today_and_everyday}. This pattern appeared in 34 posts and 16 reached high_view_rate. Confidence: 47.1%, lift: 1.55x. Reliability: weak. Small sample size, treat as experiment.",sector,Cafes/Restaurants
frozenset({'hashtag=today_and_everyday'}),frozenset({'performance=avg_view_rate'}),0.21052631578947367,0.18421052631578946,0.09210526315789473,0.4375,2.375,0.05332409972299169,1.4502923976608186,0.7333333333333333,1,1,performance=avg_view_rate,7,16,{hashtag=today_and_everyday},weak,0.6,0.7,0.7916666666666666,0.6256250000000001,1.0390625,"Try using {hashtag=today_and_everyday}. This pattern appeared in 16 posts and 7 reached avg_view_rate. Confidence: 43.8%, lift: 2.38x. Reliability: weak. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=high_view_rate'}),0.23684210526315788,0.3026315789473684,0.10526315789473684,0.4444444444444444,1.468599033816425,0.03358725761772853,1.2552631578947369,0.41810344827586204,2,1,performance=high_view_rate,8,18,"{hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}",weak,1.0,0.8,0.48953301127214166,0.6024154589371981,0.6527106816961888,"Try using {hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}. This pattern appeared in 18 posts and 8 reached high_view_rate. Confidence: 44.4%, lift: 1.47x. Reliability: weak. Small sample size, treat as experiment.",sector,Cafes/Restaurants
frozenset({'hashtag=vanilla'}),frozenset({'performance=high_view_rate'}),0.25,0.3026315789473684,0.10526315789473684,0.42105263157894735,1.391304347826087,0.02960526315789473,1.2045454545454546,0.37499999999999994,1,1,performance=high_view_rate,8,19,{hashtag=vanilla},weak,1.0,0.8,0.463768115942029,0.5864988558352403,0.585812356979405,"Try using {hashtag=vanilla}. This pattern appeared in 19 posts and 8 reached high_view_rate. Confidence: 42.1%, lift: 1.39x. Reliability: weak. Small sample size, treat as experiment.",sector,Cafes/Restaurants
